Date,Close,High,Low,Open,Volume
03-04-2023,3553.75,3580,3413.050049,3413.050049,429164
05-04-2023,3654.850098,3666.699951,3565.050049,3571.949951,481018
06-04-2023,3496.100098,3644.850098,3480.100098,3644.850098,886236
10-04-2023,3450.699951,3533.949951,3437.800049,3504,242779
11-04-2023,3454.199951,3499,3446,3465,193991
12-04-2023,3473.100098,3498,3458,3467,214203
13-04-2023,3501.050049,3518.949951,3470.050049,3480,159631
17-04-2023,3497.100098,3530,3446,3500,239351
18-04-2023,3506.800049,3565,3461,3501.949951,304634
19-04-2023,3476.199951,3528,3470,3506.75,157606
20-04-2023,3482.199951,3492,3455,3489.199951,137578
21-04-2023,3455.899902,3482.199951,3440,3482.100098,191220
24-04-2023,3467.199951,3474,3445,3469.800049,95563
25-04-2023,3465.850098,3479,3443.050049,3469.050049,179508
26-04-2023,3461.600098,3476.149902,3447,3465.850098,300045
27-04-2023,3500.800049,3509.949951,3449.199951,3460.100098,235408
28-04-2023,3511.949951,3522,3480,3500.800049,224156
02-05-2023,3545.899902,3552.75,3504.649902,3515,237127
03-05-2023,3554,3584.800049,3516.050049,3540,195083
04-05-2023,3584.5,3589,3533,3550,148562
05-05-2023,3598.199951,3605,3556.350098,3560.050049,183726
08-05-2023,3677.850098,3690,3610,3615.100098,313499
09-05-2023,3659.699951,3750,3640.199951,3721,385755
10-05-2023,3672.300049,3693.649902,3622.649902,3660,181718
11-05-2023,3704.649902,3730.100098,3665,3673.300049,178603
12-05-2023,3677.550049,3717,3641,3715,253518
15-05-2023,3523.399902,3589,3506.600098,3550,943990
16-05-2023,3479.25,3557.050049,3475,3535.399902,536281
17-05-2023,3400.199951,3498.5,3394,3491.699951,560388
18-05-2023,3368.550049,3451.100098,3352,3420.050049,289248
19-05-2023,3395.25,3434,3375.600098,3390,265437
22-05-2023,3425.100098,3438.75,3382.149902,3400,221481
23-05-2023,3432.949951,3445,3420.600098,3425.5,168585
24-05-2023,3429.550049,3439.899902,3406.199951,3432,148601
25-05-2023,3435.350098,3450.75,3429,3430,153240
26-05-2023,3501.75,3512,3442.100098,3448.899902,277113
29-05-2023,3503.300049,3545,3482.25,3540,228840
30-05-2023,3507.5,3530,3496.850098,3517.949951,294224
31-05-2023,3471.25,3522.350098,3437.350098,3519.899902,917960
01-06-2023,3500.899902,3527,3473,3480,189632
02-06-2023,3531.600098,3555,3506.100098,3510,396067
05-06-2023,3536.850098,3555,3521.699951,3550,182062
06-06-2023,3527.75,3565,3495.050049,3536,179039
07-06-2023,3544.050049,3550,3516.050049,3536,228651
08-06-2023,3546.800049,3572.699951,3535,3554.800049,185099
09-06-2023,3632.100098,3648,3568.550049,3586,661360
12-06-2023,3629.399902,3646.949951,3584.050049,3646.949951,247071
13-06-2023,3677.899902,3703.449951,3630,3644,353631
14-06-2023,3704.850098,3740,3662,3693.75,376196
15-06-2023,3917.699951,3960,3723.25,3745,1159134
16-06-2023,4085.600098,4144,3951.5,3952,2113207
19-06-2023,3975.699951,4150,3956.25,4086,703098
20-06-2023,3986.899902,4045,3910,3985,531748
21-06-2023,3919.5,4028.850098,3898.050049,3987,310779
22-06-2023,3812.149902,3940,3800,3935,311631
23-06-2023,3744.050049,3845,3731.899902,3823.949951,278868
26-06-2023,3848.25,3879,3744.050049,3744.050049,344384
27-06-2023,3872.100098,3919.949951,3841,3849,499702
28-06-2023,3963.600098,3988,3852.050049,3865,478728
30-06-2023,3889.199951,3966,3880,3965,401857
03-07-2023,3868.600098,3948,3843,3889.199951,371884
04-07-2023,3857.199951,3929.949951,3844.25,3929.949951,554478
05-07-2023,3820.100098,3897,3801.199951,3880,311494
06-07-2023,3815.899902,3850,3810,3844,247801
07-07-2023,3808.949951,3844,3800,3818,206827
10-07-2023,3767.699951,3834.25,3757,3810,180959
11-07-2023,3827.100098,3838,3772.050049,3786.949951,175289
12-07-2023,3806.350098,3850,3790,3847.100098,362068
13-07-2023,3821.649902,3828,3795,3823,250708
14-07-2023,3838.75,3881.850098,3782,3840.800049,369703
17-07-2023,3713.550049,3823.350098,3700,3796.850098,1045261
18-07-2023,3676.5,3711.949951,3672,3700,499878
19-07-2023,3705.850098,3720,3678.550049,3689.949951,277417
20-07-2023,3678.800049,3713.350098,3668.050049,3705.850098,503722
21-07-2023,3675.699951,3692,3643.600098,3653,369923
